project_id,prod_lines_code,prod_num_extensions,prod_class_complexity,prod_functions_complexity,prod_file_complexity,prod_code_smells,prod_open_issues,prod_comment_density,prod_technical_debt
1,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,NULL,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,173033,26,14.2500,2.1000,14.9500,6160.0000,8216.0000,14.2000,2.4500
5,885374,70,35.2000,3.3000,42.5000,53794.0000,69216.0000,21.0000,2.9000
6,31270,62,13.9000,2.0000,15.5000,1741.0000,2089.0000,26.9000,1.6000
7,352034,55,18.4000,1.9000,18.6000,13595.0000,14839.0000,43.1000,1.8000
8,NULL,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,692446,43,23.8000,2.7000,69.4000,12940.0000,14674.0000,27.0000,0.8000
10,74251,24,13.4000,2.8000,60.4000,1342.0000,1689.5000,27.7000,1.4500
11,320372,41,19.4000,2.4000,22.2000,14431.0000,17949.0000,28.5000,1.8000
12,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,201928,33,17.7000,2.5000,22.9000,8147.0000,11925.0000,22.4000,1.7000
14,322557,80,15.8000,2.0000,18.7000,11594.0000,16806.0000,23.7000,1.6000
15,6316,20,6.8000,1.4000,7.6000,205.0000,254.0000,34.8000,1.4000
16,14679,43,8.5000,1.2000,14.6000,412.0000,492.0000,12.6000,1.2000
17,902508,81,12.5000,1.7000,16.0000,12085.5000,14342.5000,11.5000,1.3500
19,293161,13,4.9333,1.3933,4.9303,208.1944,254.6667,15.1424,1.7917
20,1103126,33,14.2000,1.4000,18.6000,29487.0000,40257.0000,19.7000,1.4000
21,6,17,NULL,2.0000,2.0000,1.0000,1.0000,0.0000,1.3000
22,166185,66,17.5500,1.9000,20.6500,5484.5000,6222.0000,36.9500,1.9000
23,485686,40,16.2000,2.1000,20.8000,22131.0000,34417.0000,18.3000,1.6000
24,153076,26,10.5000,2.4000,37.3500,2866.0000,3339.5000,21.4000,1.4500
25,66955,30,14.0500,2.0500,15.8000,1055.5000,1487.0000,16.7000,1.3000
26,154739,52,14.9000,2.5000,15.9000,4841.0000,6246.0000,18.9000,2.7000
28,365162,68,11.9000,1.7000,14.0000,11831.0000,17706.0000,23.0000,1.6000
31,948638,33,11.7333,1.5667,13.4000,3854.3333,4557.6665,21.1333,0.9667
32,50638,48,19.4000,2.3000,24.6000,1428.0000,2393.0000,18.9000,1.5000
33,98143,49,13.9000,1.9000,15.6000,2473.0000,2804.0000,35.6000,1.3000
35,528789,114,16.6000,1.8000,20.4000,13464.0000,17180.0000,33.1000,1.7000
37,1283651,75,24.5000,2.7000,42.5000,41056.0000,45576.0000,31.1000,1.4000
38,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,194872,38,15.6000,2.1000,19.6000,5609.0000,10670.0000,11.3000,1.0000
41,1103395,66,24.4000,2.3000,38.1000,59312.0000,64536.0000,26.5000,2.3000
42,100137,72,8.4000,1.6000,10.2000,2575.0000,3003.0000,35.3000,1.2000
43,12686,34,6.8000,1.3000,10.1000,255.0000,358.0000,38.2000,0.9000
44,282493,56,12.9000,1.6000,13.8000,6700.0000,9260.0000,33.2000,1.1000
45,48319,35,13.5000,1.7000,19.9000,987.0000,1553.0000,27.7000,1.7000
46,62621,42,12.9000,1.6000,17.6000,1450.0000,1965.0000,41.1000,1.1000
47,34911,32,27.5000,2.8000,32.1000,5603.0000,7258.0000,10.2000,3.6000
48,432403,61,10.6000,1.6000,12.2000,10755.0000,12565.0000,32.3000,1.4000
49,NULL,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,757068,30,23.6500,3.0000,27.0500,18278.0000,23883.5000,30.1500,2.4500
51,NULL,155,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,397663,67,17.2000,2.2500,20.8000,8862.0000,13199.0000,22.1500,2.4000
53,541751,118,26.4000,2.3000,36.2000,9624.0000,10578.0000,23.2000,1.5000
54,218623,81,10.6000,1.5000,11.3000,7254.0000,8872.0000,30.4000,1.5000
56,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,61609,33,25.1000,2.2000,25.4000,2197.0000,2379.0000,48.0000,1.7000
59,1111665,77,17.1000,2.0000,20.5000,46578.0000,57280.0000,26.2000,2.8000
60,170069,38,13.7000,1.7000,14.6000,4604.0000,5724.0000,34.8000,1.2000
61,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,237722,108,20.9000,2.2000,26.0000,8797.0000,10070.0000,29.4000,1.5000
64,NULL,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,156709,48,11.5000,2.2000,18.6000,4170.0000,4907.0000,38.3000,1.2000
69,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,40146,28,14.0000,2.2000,14.9000,2773.0000,3969.0000,16.1000,2.0000
73,477819,111,13.2000,2.0000,18.3000,18021.0000,24755.0000,18.2000,1.8000
77,323199,92,15.7000,1.9000,21.4000,8833.0000,12533.0000,19.9000,1.7000
78,1524487,61,20.9000,2.3000,26.7000,71765.0000,99962.0000,25.3000,2.5000
79,545869,26,14.1000,1.9000,16.1000,20850.0000,26287.0000,35.2000,1.5000
80,366676,102,12.6000,1.8000,15.4000,12052.0000,18782.0000,24.8000,1.0000
81,182716,64,12.1000,1.9000,13.2000,6564.0000,9100.0000,34.3000,1.6000
83,7372,30,14.6000,2.4000,11.1000,215.0000,382.0000,20.9000,1.6000
85,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,27615,26,12.5000,1.9000,14.6000,770.0000,1478.0000,8.0000,1.0000
87,242341,338,11.9000,2.0000,13.5000,6925.0000,11312.0000,15.6000,1.3000
88,7295,17,13.7000,2.1000,17.3000,284.0000,396.0000,6.2000,1.0000
90,34255,28,9.4000,2.1000,9.7000,978.0000,1175.0000,9.3000,1.3000
91,150302,36,18.8000,1.9000,23.4000,5064.0000,7808.0000,20.9000,1.3000
92,20039,25,13.5000,2.7000,13.8000,512.0000,810.0000,16.5000,1.1000
93,143942,72,13.8000,2.1000,15.6000,5024.0000,6533.0000,13.3000,1.2000
94,142859,46,15.1000,2.5000,25.8000,7356.0000,11598.0000,11.0000,1.8000
95,1988182,39,41.7000,2.0000,43.4000,64555.0000,71381.0000,53.9000,1.7000
96,58841,11,13.9667,1.7167,14.4000,227.6667,298.8333,29.3000,2.5333
97,35228,16,9.3500,1.1333,9.1000,76.5714,85.4286,18.3000,0.8286
99,1367889,113,26.1000,2.6000,34.9000,54729.0000,58602.0000,31.1000,1.4000
100,1612600,84,20.6000,1.8000,21.1000,64283.0000,70939.0000,51.0000,2.2000
101,NULL,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,37563,25,18.7000,2.1000,22.2000,1600.0000,2645.0000,7.9000,1.4000
103,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,104965,26,9.3000,1.6667,10.9667,1392.6667,2085.3333,10.3667,1.9667
105,221244,26,10.6000,1.6000,12.8000,3853.0000,5982.0000,18.8000,1.2000
106,NULL,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,NULL,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,1657969,115,26.5000,2.5000,32.5000,77431.0000,84803.0000,30.5000,1.8000
109,189931,25,18.8000,2.3000,19.2000,6166.0000,9099.0000,26.6000,1.5000
110,55217,28,12.8000,1.6000,13.9000,1493.0000,1639.0000,31.9000,1.5000
112,342830,62,17.4000,1.9000,28.4000,10106.0000,11892.0000,21.9000,1.5000
114,97,13,8.0000,1.6000,8.0000,2.0000,3.0000,0.0000,0.3000
115,106391,74,14.4000,2.2000,17.3000,3470.0000,4661.0000,14.7000,1.7000
117,1136443,90,10.9000,1.7000,13.1500,12483.0000,16277.0000,8.5500,1.0500
118,686979,60,11.0714,1.9429,12.9857,3665.1428,4171.1431,33.5571,2.7429
119,573458,56,10.6000,2.2000,13.6000,24839.0000,39987.0000,18.2000,2.3000
120,NULL,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,3509,16,NULL,2.5000,52.7000,135.0000,149.0000,10.2000,1.0000
123,1623207,45,22.5375,2.3250,27.2625,11570.0000,15196.5000,20.2625,1.8500
127,137320,44,15.9000,1.9000,17.5000,4559.0000,5271.0000,38.1000,1.9000
128,1352804,24,13.9250,1.8375,20.2375,6348.2500,7583.3750,14.2375,1.3000
129,580661,59,14.6750,2.0250,18.1250,6696.5000,9764.7500,18.1000,1.5000
135,85568,64,10.4000,1.6000,12.6000,2265.0000,3823.0000,5.2000,0.9000
142,3121,17,13.7000,1.7000,14.8000,67.0000,91.0000,2.9000,1.1000
143,336746,34,9.5000,1.5500,12.2500,3938.5000,5081.0000,16.7500,1.0500
144,NULL,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,43226,61,26.5000,3.3000,48.1000,2554.0000,3508.0000,18.3000,2.3000
146,1024,9,4.3000,1.2000,4.6000,15.0000,29.0000,6.1000,1.9000
147,212466,29,8.8000,1.8500,12.1500,2739.5000,3130.5000,3.7000,1.0500
149,754092,85,13.8667,1.8333,18.3000,10650.3330,12551.0000,7.3000,1.6333
150,137238,29,19.5000,2.4000,21.8000,4016.0000,7483.0000,23.3000,1.8000
153,904503,78,15.8000,2.0000,17.7000,20374.0000,24732.0000,31.8000,1.4000
154,17422,13,5.5500,1.5000,7.2000,164.0000,212.0000,14.5000,0.3500
155,108160,34,12.5000,1.7000,14.7000,2964.0000,4155.0000,12.6000,1.0000
156,NULL,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,703373,96,20.7000,2.8000,24.8000,40841.0000,55616.0000,19.4000,2.9000
158,407463,70,15.9000,1.9000,20.9000,12630.0000,16464.0000,28.0000,1.8000
159,2435746,37,14.9875,2.2111,21.2667,8907.4443,12017.4443,14.5667,1.1778
161,847362,91,17.2000,1.9000,21.6000,46625.0000,52060.0000,39.5000,2.9000
163,111420,75,13.5000,1.6000,14.6000,3408.0000,4619.0000,17.2000,1.3000
164,NULL,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,671813,193,17.7000,2.0000,23.4000,13477.0000,14909.0000,40.0000,1.5000
166,525412,70,14.6000,2.0000,17.9000,19769.0000,24228.0000,18.1000,2.1000
170,416603,39,19.8000,2.1000,22.8000,17989.0000,27269.0000,25.7000,1.8000
171,439672,261,14.0000,2.0000,17.0000,11080.0000,16354.0000,23.0000,1.2000
172,97514,60,8.5000,1.6000,9.9000,2614.0000,3648.0000,9.2000,1.2000
173,1271230,63,45.8000,3.5000,48.9000,73584.0000,77692.0000,42.5000,2.5000
175,103076,44,9.5000,2.3000,16.6000,2975.0000,3709.0000,27.5000,1.7000
193,16646,23,14.2000,1.7000,20.8000,472.0000,648.0000,8.3000,1.2000
194,36832,31,14.3000,2.1000,15.5000,2375.0000,3513.0000,29.4000,3.1000
195,172790,46,10.7000,2.0000,11.3000,2470.0000,2730.0000,13.5500,1.6500
196,195885,31,9.0111,1.5778,10.8778,602.4444,818.7778,10.4889,1.2333
197,511201,36,13.8333,1.9333,14.6333,6936.3335,10260.3330,17.7000,1.8333
206,273377,32,NULL,4.1000,246.6500,2581.0000,3061.0000,25.2500,1.1000
208,116131,39,34.5000,2.6000,42.1000,4896.0000,5375.0000,32.7000,2.0000
209,191262,28,13.7500,2.0000,18.9500,3596.0000,5074.0000,17.7000,1.2000
210,854755,62,13.0000,1.6000,15.0000,37930.0000,49906.0000,13.7000,2.4000
211,NULL,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213,168742,37,12.4000,2.3000,13.4000,6991.0000,10064.0000,13.0000,2.1000
